Date,Open,High,Low,Close,Adj Close,Volume
2010-04-06,180.8000030517578,223.64999389648438,180.8000030517578,203.1750030517578,171.2794952392578,29890642
2010-04-07,204.0,205.25,196.375,201.27499389648438,169.67774963378906,7656100
2010-04-08,200.0,215.9499969482422,199.14999389648438,207.14999389648438,174.63046264648438,16736458
2010-04-09,207.5,209.9250030517578,204.14999389648438,205.3000030517578,173.07090759277344,3160216
2010-04-12,205.89999389648438,207.625,197.8000030517578,200.6750030517578,169.1719512939453,1546928
2010-04-13,200.0,204.9499969482422,198.5,200.10000610351562,168.6872100830078,1673172
2010-04-15,202.0,204.39999389648438,197.8000030517578,198.97500610351562,167.7388153076172,1256608
2010-04-16,198.9499969482422,202.0,197.5,200.0500030517578,168.64505004882812,791808
2010-04-19,198.5,199.9250030517578,192.5,195.4499969482422,164.7672119140625,684288
2010-04-20,196.0,198.39999389648438,192.5,196.35000610351562,165.52589416503906,364116
2010-04-21,197.0,206.4250030517578,196.77499389648438,201.3249969482422,169.7199249267578,1821970
2010-04-22,200.0,204.6999969482422,199.0500030517578,200.5500030517578,169.06658935546875,750496
2010-04-23,200.8000030517578,203.9499969482422,196.64999389648438,198.1750030517578,167.0644073486328,488752
2010-04-26,201.0500030517578,205.5,199.5,200.97500610351562,169.4248809814453,864868
2010-04-27,201.5,201.89999389648438,196.39999389648438,197.25,166.28466796875,365768
2010-04-28,202.75,205.0,191.27499389648438,192.47500610351562,162.2592315673828,242528
2010-04-29,193.5,200.75,193.5,198.47500610351562,167.3173370361328,447320
2010-04-30,199.0,202.9499969482422,198.0,199.3249969482422,168.0338592529297,475910
2010-05-03,197.39999389648438,201.3000030517578,197.39999389648438,199.77499389648438,169.04930114746094,441704
2010-05-04,199.5,202.22500610351562,196.0,196.5749969482422,166.3414764404297,347874
2010-05-05,194.5,199.3000030517578,180.10000610351562,198.22500610351562,167.73773193359375,274078
2010-05-06,198.9499969482422,199.5,192.125,193.22500610351562,163.5067138671875,200326
2010-05-07,191.5,192.4499969482422,187.5,188.0749969482422,159.14881896972656,190912
2010-05-10,192.5,194.5,189.97500610351562,193.625,163.84519958496094,135854
2010-05-11,194.4499969482422,194.4499969482422,190.5,191.14999389648438,161.75083923339844,109142
2010-05-12,191.0,192.5,188.6750030517578,189.9250030517578,160.71429443359375,168864
2010-05-13,190.125,193.5,189.0,190.8000030517578,161.4546661376953,127534
2010-05-14,189.52499389648438,192.9250030517578,187.6999969482422,190.0,160.77772521972656,120790
2010-05-17,188.5,190.375,187.5500030517578,189.14999389648438,160.05844116210938,97132
2010-05-18,187.60000610351562,198.8249969482422,187.60000610351562,193.27499389648438,163.54898071289062,272212
2010-05-19,192.5,195.25,188.5,189.02499389648438,159.9526824951172,208592
2010-05-20,190.0,193.85000610351562,188.5,189.0749969482422,159.9949493408203,103062
2010-05-21,187.5500030517578,191.75,182.60000610351562,189.9250030517578,160.71429443359375,128022
2010-05-24,191.4250030517578,193.5,189.0,189.14999389648438,160.05844116210938,77542
2010-05-25,186.5500030517578,192.39999389648438,182.5,183.4250030517578,155.21401977539062,293074
2010-05-26,184.25,187.4499969482422,182.5,184.75,156.33518981933594,84496
2010-05-27,185.625,186.75,183.77499389648438,185.39999389648438,156.8852081298828,102590
2010-05-28,186.47500610351562,190.0,186.0500030517578,189.60000610351562,160.43927001953125,97224
2010-05-31,189.25,194.47500610351562,188.0,193.39999389648438,163.65481567382812,75504
2010-06-01,191.5,196.5,190.0500030517578,193.375,163.6336669921875,115420
2010-06-02,193.9499969482422,195.10000610351562,189.4499969482422,194.27499389648438,164.39523315429688,90578
2010-06-03,195.3249969482422,196.89999389648438,192.3000030517578,194.1999969482422,164.33175659179688,39566
2010-06-04,194.5749969482422,197.10000610351562,191.75,196.3000030517578,166.1088104248047,89442
